HousingCA,UnemployCA,OilPrice,MountlySupply(One hundred billion Dollar),Gold Price (hundred Dollar),CAPHCI,CASLIND,S&P Adj Close,Steel&Iron Index
160.42,6.40,122.77,77.322,8.887,162.02,-0.92,1400.380005,270.6
158.24,7.00,131.52,77.543,8.895,161.68,-1.06,1280,284.1
155.63,7.60,132.55,77.694,9.398,161.27,-1.22,1267.380005,293.1
152.42,7.80,114.57,77.665,8.390,160.78,-1.53,1282.829956,294.4
149.63,7.70,99.29,78.452,8.299,160.05,-2.03,1166.359985,274
146.87,8.00,72.69,79.589,8.066,159.26,-2.52,968.75,236
143.50,8.40,54.04,80.491,7.609,158.40,-2.86,896.23999,209.4
139.69,9.00,41.53,82.692,8.161,157.31,-3.39,903.25,195.6
136.63,10.20,43.91,83.132,8.587,156.19,-3.64,825.880005,191.6
134.66,10.60,41.76,83.392,9.430,155.37,-3.11,735.090027,185.4
133.16,10.90,46.95,84.723,9.243,154.47,-2.80,797.869995,179.8
132.41,10.40,50.28,84.670,8.902,153.61,-2.65,872.809998,168.9
133.30,10.60,58.1,84.462,9.287,153.12,-1.82,919.140015,169.2
135.13,11.30,69.13,84.568,9.457,152.44,-1.54,919.320007,171.1
136.34,11.70,64.65,84.216,9.342,152.01,-1.31,987.47998,178.2
137.07,11.50,71.63,83.957,9.494,151.49,-1.15,1020.619995,187
137.64,11.40,68.38,84.010,9.966,151.26,-0.69,1057.079956,193.7
138.31,11.60,74.08,84.347,10.432,151.10,-0.25,1036.189941,196.1
138.78,11.70,77.56,85.086,11.270,151.00,0.17,1095.630005,191.3
138.32,11.80,74.88,85.523,11.347,151.10,0.65,1115.099976,195.7
137.45,12.70,77.12,84.727,11.180,151.05,0.61,1073.869995,205.6
137.60,12.60,74.72,85.172,10.954,151.27,0.88,1104.48999,210.8
138.42,12.60,79.3,85.795,11.133,151.54,1.24,1169.430054,220.6
138.82,12.00,84.14,85.995,11.487,152.03,1.78,1186.689941,232
138.88,11.70,75.54,85.800,12.054,152.32,1.50,1089.410034,235.5
138.42,12.00,74.73,86.014,12.329,152.61,1.34,1030.709961,233.5
137.87,12.60,74.52,85.718,11.930,152.88,1.15,1101.599976,224.8
136.99,12.30,75.88,86.019,12.158,152.98,0.73,1049.329956,221.9
135.61,11.90,76.11,86.432,12.710,153.29,0.98,1141.199951,224.1
134.34,11.90,81.72,86.993,13.420,153.75,1.68,1183.26001,222.7
133.15,12.30,84.53,87.660,13.699,154.01,1.65,1180.550049,222.6
131.92,12.10,90.07,88.489,13.906,154.45,1.71,1257.640015,228.3
130.68,12.60,92.66,88.400,13.605,154.84,1.64,1286.119995,239.8
129.90,12.20,97.73,88.792,13.747,155.21,1.75,1327.219971,248.7
129.84,12.10,108.65,89.921,14.233,155.58,1.63,1325.829956,253.3
129.90,11.50,116.32,90.455,14.809,155.79,1.35,1363.609985,257.5
129.58,11.30,108.18,90.195,15.126,156.05,1.20,1345.199951,256.6
129.29,12.00,105.85,90.798,15.294,156.32,0.98,1320.640015,256.4
128.73,12.20,107.88,92.319,15.728,156.77,1.64,1292.280029,256.9
127.96,11.90,100.45,94.270,17.590,157.18,1.93,1218.890015,256.5
127.28,11.50,100.83,94.638,17.721,157.78,2.21,1131.420044,256.9
