HosingNY,UnemployNY,OilPrice,MountlySupply(One hundred billion Dollar),Gold Price (hundred Dollar),NYPHCI,NYSLIND,S&P Adj Close,Steel&Iron Index
158.42,4.80,47.81,64.478,4.219,130.82,1.01,1191.5,170.7
161.17,4.80,53.89,65.006,4.307,131.11,1.17,1191.329956,162
163.25,5.10,56.37,65.205,4.245,131.15,0.60,1234.180054,160
164.25,4.70,61.87,65.437,4.379,131.51,1.02,1220.329956,161.8
164.87,5.00,61.65,65.763,4.561,131.50,0.89,1228.810059,169.2
165.43,4.80,58.19,66.034,4.699,132.00,1.21,1207.01001,168
165.65,5.10,54.98,66.444,4.767,132.17,1.05,1249.47998,173.9
165.40,4.70,56.47,66.982,5.101,132.63,1.15,1248.290039,173.8
164.91,5.10,62.36,66.959,5.499,133.03,1.57,1280.079956,174.7
164.45,5.30,59.71,67.125,5.550,133.49,1.72,1280.660034,177.2
164.67,5.00,60.93,67.861,5.571,133.73,1.05,1294.869995,178.1
166.02,4.60,68,68.495,6.107,134.03,0.90,1310.609985,180.7
167.96,4.50,68.61,67.872,6.754,134.25,0.62,1270.089966,183.7
169.55,4.50,68.29,68.394,5.962,134.74,1.12,1270.199951,189
170.21,4.80,72.51,68.611,6.337,134.92,0.93,1276.660034,193.9
169.93,4.40,71.81,68.802,6.326,135.41,1.14,1303.819946,192.2
169.30,4.20,61.97,69.086,5.982,135.89,1.52,1335.849976,195.3
168.56,3.90,57.95,69.529,5.858,136.45,1.78,1377.939941,194.9
167.20,4.10,58.13,70.170,6.278,136.83,1.40,1400.630005,189
165.05,4.00,61,70.942,6.298,137.27,1.46,1418.300049,189.6
163.52,5.00,53.4,70.914,6.312,137.66,1.22,1438.23999,190
163.87,4.90,57.58,71.019,6.648,138.07,1.19,1406.819946,195.9
165.37,4.40,60.6,72.015,6.549,138.17,0.60,1420.859985,205.5
166.78,4.20,65.1,72.913,6.794,138.54,0.65,1482.369995,209.2
167.68,4.20,65.1,72.348,6.673,138.64,0.67,1530.619995,205.8
168.53,4.50,68.19,72.795,6.557,138.80,0.33,1503.349976,205.3
169.23,4.90,73.67,72.842,6.654,138.86,0.36,1455.27002,204.3
169.15,4.50,70.13,73.461,6.654,139.21,0.64,1473.98999,200.5
168.39,4.50,76.91,73.758,7.127,139.25,0.50,1526.75,199.8
167.19,4.40,82.15,73.909,7.546,139.59,0.63,1549.380005,198
165.91,4.40,91.27,74.518,8.063,139.92,0.89,1481.140015,197.8
164.62,4.80,89.43,75.218,8.032,139.98,0.65,1468.359985,200.6
163.13,5.50,90.82,75.205,8.896,140.27,0.35,1378.550049,210
161.75,5.40,93.75,76.047,9.223,140.50,0.62,1330.630005,215.2
161.10,5.20,101.84,77.441,9.684,140.47,0.16,1322.699951,224
